Pallet,Weight,Profit
1,1,10
2,2,20
3,3,30
4,1,11
5,2,19
6,3,28
7,1,10
8,2,21
9,3,29
10,1,12
11,2,18
12,3,27
13,1,13
14,2,22
15,3,31
16,1,14
17,2,23
18,3,32
19,1,15
20,2,24
21,3,33
22,1,16
23,2,25
24,3,34
25,1,17
26,2,26
27,3,35
28,1,18
29,2,27
30,3,36
31,1,19
32,2,28
33,3,37
34,1,20
35,2,29
36,3,38
37,1,21
38,2,30
39,3,39
40,1,22
41,2,31
42,3,40
43,1,23
44,2,32
45,3,41
46,1,24
47,2,33
48,3,42
49,1,25
50,2,34
51,3,43
52,1,26
53,2,35
54,3,44
55,1,27
56,2,36
57,3,45
58,1,28
59,2,37
60,3,46
61,1,29
62,2,38
63,3,47
64,1,30
65,2,39
66,3,48
67,1,31
68,2,40
69,3,49
70,1,32
71,2,41
72,3,50
73,1,33
74,2,42
75,3,51
76,1,34
77,2,43
78,3,52
79,1,35
80,2,44
81,3,53
82,1,36
83,2,45
84,3,54
85,1,37
86,2,46
87,3,55
88,1,38
89,2,47
90,3,56
91,1,39
92,2,48
93,3,57
94,1,40
95,2,49
96,3,58
97,1,41
98,2,50
99,3,59
100,1,42
101,5,51
102,6,60
103,7,70
104,8,80
105,9,90
106,10,100
107,5,52
108,6,61
109,7,71
110,8,81
111,9,91
112,10,101
113,5,53
114,6,62
115,7,72
116,8,82
117,9,92
118,10,102
119,5,54
120,6,63
121,7,73
122,8,83
123,9,93
124,10,103
125,5,55
126,6,64
127,7,74
128,8,84
129,9,94
130,10,104
131,5,56
132,6,65
133,7,75
134,8,85
135,9,95
136,10,105
137,5,57
138,6,66
139,7,76
140,8,86
141,9,96
142,10,106
143,5,58
144,6,67
145,7,77
146,8,87
147,9,97
148,10,107
149,5,59
150,6,68
151,7,78
152,8,88
153,9,98
154,10,108
155,15,150
156,16,160
157,17,170
158,18,180
159,19,190
160,20,200
161,15,151
162,16,161
163,17,171
164,18,181
165,19,191
166,20,201
167,15,152
168,16,162
169,17,172
170,18,182
171,19,192
172,20,202
173,15,153
174,16,163
175,17,173
176,18,183
177,19,193
178,20,203
179,15,154
180,16,164
181,17,174
182,18,184
183,19,194
184,20,204
185,40,350
186,41,360
187,42,370
188,43,380
189,44,390
190,45,400
191,46,410
192,47,420
193,48,430
194,49,440
195,50,450
196,40,351
197,41,361
198,42,371
199,43,381
200,44,391
201,45,401
202,46,411
203,47,421
204,48,431
205,49,441
