Dataset, Algorithm, Time (μs), Flag
01, BF, 611, 0
01, BT, 39, 0
01, BB, 28, 0
01, DP-Vector, 105, 0
01, DP-HashMap, 93, 0
01, DP-Optimized, 48, 0
01, Greedy, 10, 0
01, ILP-CPP, 13405, 0
01, ILP-PY, 145438, 0
02, BF, 18623, 0
02, BT, 93, 0
02, BB, 28, 0
02, DP-Vector, 199, 0
02, DP-HashMap, 483, 0
02, DP-Optimized, 100, 0
02, Greedy, 19, 0
02, ILP-CPP, 5905, 0
02, ILP-PY, 80247, 0
03, BF, 431, 0
03, BT, 44, 0
03, BB, 23, 0
03, DP-Vector, 126, 0
03, DP-HashMap, 100, 0
03, DP-Optimized, 47, 0
03, Greedy, 9, 0
03, ILP-CPP, 3763, 0
03, ILP-PY, 85776, 0
04, BF, -1, 1
04, BT, 1110833, 0
04, BB, 83, 0
04, DP-Vector, 2148, 0
04, DP-HashMap, 7378, 0
04, DP-Optimized, 835, 0
04, Greedy, 31, 1
04, ILP-CPP, 33912, 0
04, ILP-PY, 84831, 0
05, BF, -1, 1
05, BT, 1927951, 0
05, BB, 25, 0
05, DP-Vector, 80, 0
05, DP-HashMap, 195, 0
05, DP-Optimized, 28, 0
05, Greedy, 16, 0
05, ILP-CPP, 1139, 0
05, ILP-PY, 51127, 0
06, BF, -1, 1
06, BT, -1, 1
06, BB, -1, 1
06, DP-Vector, 810080, 0
06, DP-HashMap, 7846688, 0
06, DP-Optimized, 413930, 0
06, Greedy, 1759, 0
06, ILP-CPP, 19204, 0
06, ILP-PY, 197291, 0
07, BF, 18698, 0
07, BT, 2573, 0
07, BB, 70, 0
07, DP-Vector, 896, 0
07, DP-HashMap, 802, 0
07, DP-Optimized, 410, 0
07, Greedy, 15, 0
07, ILP-CPP, 2942, 0
07, ILP-PY, 79614, 0
08, BF, 18538, 0
08, BT, 2102, 0
08, BB, 81, 0
08, DP-Vector, 555, 0
08, DP-HashMap, 518, 0
08, DP-Optimized, 255, 0
08, Greedy, 15, 0
08, ILP-CPP, 1942, 0
08, ILP-PY, 84246, 0
09, BF, 76233, 0
09, BT, 5125, 0
09, BB, 19, 0
09, DP-Vector, 123, 0
09, DP-HashMap, 102, 0
09, DP-Optimized, 55, 0
09, Greedy, 16, 0
09, ILP-CPP, 3264, 0
09, ILP-PY, 78413, 0
10, BF, 8, 0
10, BT, 4, 0
10, BB, 12, 0
10, DP-Vector, 10, 0
10, DP-HashMap, 9, 0
10, DP-Optimized, 5, 0
10, Greedy, -1, 1
10, ILP-CPP, 1232, 0
10, ILP-PY, 77042, 0
11, BF, 1422435, 0
11, BT, 80428, 0
11, BB, 44, 0
11, DP-Vector, 225, 0
11, DP-HashMap, 753, 0
11, DP-Optimized, 105, 0
11, Greedy, 16, 1
11, ILP-CPP, 6122, 0
11, ILP-PY, 81443, 0
12, BF, 826201, 0
12, BT, 134007, 0
12, BB, 20, 0
12, DP-Vector, 2842, 0
12, DP-HashMap, 1179, 0
12, DP-Optimized, 1024, 0
12, Greedy, 14, 0
12, ILP-CPP, 1753, 0
12, ILP-PY, 81128, 0
13, BF, 8043, 0
13, BT, 1139, 0
13, BB, 837, 0
13, DP-Vector, 111, 0
13, DP-HashMap, 107, 0
